"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj448","tennisracket","tennisracket",1,0,3,0.02,963,4,12,0
"obj449","tent","tent",0.98,0,1,0,744,1,4,3.807
"obj450","thermos","thermos",0.92,0.04,5,0.13,1289,2,7,1.099
"obj451","thimble","thimble",0.98,0.02,5,0.1,1198,2,7,0
"obj452","thumb","thumb",1,0,3,0,870,1,5,3.332
"obj453","tie","tie",1,0,2,0,758,1,3,3.555
"obj454","tiger","tiger",0.94,0.04,4,0.09,1072,2,5,2.565
"obj455","tire","tire",1,0,2,0,804,2,4,2.485
"obj456","toaster","toaster",1,0,3,0.02,860,2,7,0.693
"obj457","toe","toe",0.88,0.1,6,0.09,1211,1,3,3.401
"obj458","toilet","toilet",1,0,1,0,825,2,6,3.367
"obj459","tomato","tomato",1,0,2,0.02,962,3,6,2.708
"obj460","grave","grave",1,0,8,0.26,1228,1,5,3.091
"obj461","toothbrush","toothbrush",1,0,1,0,811,2,10,1.099
"obj462","top","top",0.84,0.16,6,0.07,1083,1,3,5.153
"obj463","towel","towel",0.98,0,3,0.2,990,2,5,3.135
"obj464","railroadtracks","railroadtracks",1,0,10,0.04,957,3,14,0
"obj465","tractor","tractor",0.92,0.04,4,0.13,1216,2,7,2.485
"obj466","stoplight","stoplight",1,0,7,0.02,1021,2,9,0
"obj467","train","train",0.96,0,1,0,838,1,5,4.407
"obj468","trashcan","trashcan",0.98,0,5,0.02,984,2,8,0
"obj469","tree","tree",0.98,0,1,0,796,1,4,5.257
"obj470","tripod","tripod",0.78,0.18,6,0.21,1571,2,6,0.693
"obj471","trophy","trophy",0.88,0.1,8,0.45,1452,2,6,1.609
"obj472","truck","truck",1,0,3,0.02,987,1,5,3.611
"obj473","trumpet","trumpet",0.98,0,4,0.31,1053,2,7,2.197
"obj474","chest","chest",0.92,0.02,4,0.11,1233,1,5,3.892
"obj475","turkey","turkey",0.96,0.02,3,0.04,1160,2,6,1.792
"obj476","turtle","turtle",1,0,1,0,734,2,6,1.609
"obj477","tweezers","tweezers",0.9,0.04,5,0.09,1328,2,8,1.099
"obj478","typewriter","typewriter",1,0,1,0,778,3,10,2.485
"obj479","umbrella","umbrella",1,0,1,0,738,3,8,2.708
"obj480","unicorn","unicorn",1,0,1,0,928,3,7,0.693
"obj481","unicycle","unicycle",0.96,0.04,4,0.19,1179,4,8,0
"obj482","vacuum","vacuum",1,0,2,0,930,2,6,2.773
"obj483","vase","vase",0.96,0.04,3,0.06,1171,1,4,2.079
"obj484","vest","vest",1,0,3,0.04,919,1,4,2.079
"obj485","violin","violin",1,0,4,0.18,1051,3,6,1.946
"obj486","volcano","volcano",1,0,1,0,1063,3,7,1.946
"obj487","waffle","waffle",0.74,0.22,15,0.46,1270,2,6,0.693
"obj488","wagon","wagon",0.82,0.14,5,0.2,1192,2,5,2.485
"obj489","waiter","waiter",0.96,0,6,0.13,1156,2,6,3.135
"obj490","bricks","bricks",1,0,5,0.38,1050,1,6,0
"obj491","wallet","wallet",0.88,0.1,10,0.2,1382,2,6,2.197
"obj492","walnut","walnut",0.94,0.06,4,0.38,1282,2,6,1.792
"obj493","walrus","walrus",0.96,0.02,5,0.17,1006,2,6,0.693
"obj494","closet","closet",1,0,5,0.12,1078,2,6,2.485
"obj495","washingmachine","washingmachine",0.98,0.02,5,0.04,1085,4,14,0.693
"obj496","watch","watch",1,0,1,0,780,1,5,3.714
"obj497","wateringcan","wateringcan",0.7,0.26,18,0.4,1577,4,11,0
"obj498","watermelon","watermelon",1,0,2,0,920,4,10,0
"obj499","spiderweb","spiderweb",1,0,2,0,869,3,9,0
"obj500","well","well",0.96,0.04,3,0.02,991,1,4,1.792
"obj501","whale","whale",0.98,0,3,0.04,1050,1,5,2.485
"obj502","wheat","wheat",0.72,0.16,8,0.42,1428,1,5,3.401
"obj503","wheel","wheel",1,0,1,0,913,1,5,3.807
"obj504","wheelbarrow","wheelbarrow",1,0,5,0.08,1207,3,11,0.693
"obj505","wheelchair","wheelchair",0.98,0,1,0,881,2,10,1.386
"obj506","whip","whip",0.9,0.1,3,0.13,1272,1,4,2.708
"obj507","whistle","whistle",0.98,0,1,0,790,2,7,2.303
"obj508","wig","wig",1,0,2,0.06,933,1,3,2.639
"obj509","windmill","windmill",0.9,0.06,4,0.04,1226,2,8,2.303
"obj510","window","window",1,0,1,0,822,2,6,5.303
"obj511","glass","glass",0.98,0,4,0.04,946,1,5,4.984
"obj512","wing","wing",0.96,0.02,4,0.06,996,1,4,4.078
"obj513","witch","witch",1,0,1,0,879,1,5,3.497
"obj514","wolf","wolf",1,0,4,0.44,1262,1,4,2.398
"obj515","woman","woman",0.98,0,6,0.12,1057,2,5,6.746
"obj516","worm","worm",0.98,0,3,0.02,1110,1,4,2.89
"obj517","wrench","wrench",0.88,0.12,3,0.02,1331,1,6,1.386
"obj518","yoyo","yoyo",0.98,0.02,3,0.04,1141,2,4,0
"obj519","zebra","zebra",0.98,0.02,1,0,864,2,5,1.099
"obj520","zipper","zipper",0.96,0.02,1,0,969,2,6,1.099
