Duration,Age,Gender,Gender_comfortable_1,Gender_masc_1,Gender_fem_1,Gender_stability_1,Sexual_strength_1,Sexual_fewq_1,Sexual_gender_1,Romantic_strength_1,Romantic_freq_1,Romantic_gender_1
189,20,Female,9,2,8,9,9,2,9,9,2,9
141,21,Male,9,7,3,8,7,5,2,8,5,3
232,21,Female,9,2,8,9,7,3,5,9,7,5
248,18,Female,9,3,6,9,9,9,7,8,6,9
128,18,Male,9,4,6,5,8,9,9,9,9,9
325,18,Other,3,7,6,1,1,4,3,9,3,5
150,18,Female,9,5,6,7,1,1,NA,3,2,6
144,20,Female,9,3,7,9,9,6,8,9,9,7
125,21,NA,9,3,7,9,9,7,7,9,7,7
79,20,Female,9,3,7,8,8,7,9,5,6,9
104,18,Female,9,3,6,8,7,8,3,7,5,6
127,19,Female,9,5,6,9,8,9,9,7,6,9
90,21,Female,9,1,9,1,9,5,9,9,5,9
81,22,Female,9,1,9,9,9,7,8,9,7,8
178,19,Female,9,2,5,8,8,8,6,8,8,8
174,20,Female,9,3,6,9,8,6,8,6,5,9
140,19,Female,9,2,8,9,9,7,9,8,8,7
245,20,Female,9,3,7,9,8,7,8,9,7,9
103,492,Male,9,7,2,9,9,9,1,9,6,1
122,19,Female,9,4,8,9,7,7,8,9,4,8
79,18,Male,9,7,5,8,9,9,8,9,7,9
131,20,Male,9,6,4,9,9,8,9,9,7,7
76,19,Female,8,3,7,7,9,9,5,9,9,3
