"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1305",1,1,4,2.14,3,4,4.67,5.44,4,3,1.38
"ID1306",1,1,3.5,4.86,3.4,4.13,3.89,5.56,3.2,3.63,3
"ID1307",0,1,2,3.86,3.5,4.63,4.56,4.92,3.6,3.63,3.25
"ID1308",1,1,4,3.43,3.7,2.88,3.44,5.18,3,2,2.63
"ID1309",1,1,2.13,4.14,3.2,4,4.78,3.25,2.8,3,3.5
"ID1310",1,1,1.88,4.29,3.7,4.75,3.33,3.73,3.2,3.5,3.13
"ID1311",1,1,2.63,2.71,3.4,3.63,4.56,3.62,2.8,2.88,2.25
"ID1312",1,1,3.63,2.86,4.5,4.13,4,5.15,2.6,2.5,3.75
"ID1313",0,1,2.38,2.86,3.6,3.75,3.89,3.1,3,2.63,2.63
"ID1314",1,1,3.5,3.71,3.2,4.13,2.56,3.73,2.4,2.88,3
"ID1315",1,1,2.25,2.71,3.9,3.38,4,4.25,2.6,3.63,3
"ID1316",0,1,3.5,4,4.1,4.38,3.89,6.36,4,2.75,3
"ID1317",0,1,3.25,3.86,3.2,3.88,3.56,3.18,3,2.25,3.63
